what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1334413873578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334413875034
error,log,,,"No command output when running: 'am start -n edu.artAtGVSU/edu.artAtGVSU.SplashScreenActivity -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1334413884034
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1334413893596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334414160557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334414161886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334414169518
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334414174414
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334414206927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334414360136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418853253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418860462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418868579
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334418871433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334418888856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418908941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418912836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418915684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418923569
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334418928572
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334418931724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334418975582
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419002707
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1334419291467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334419292368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419317076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419321691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334419329716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334419352635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419355962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419374926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419378911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419381417
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334419384091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419416047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419418782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419419082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419423498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419425223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419426775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419452735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419453826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334419453848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419462233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419466499
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1334419466507
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334419467238
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1334419507616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419509022
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1334419512324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419513006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334419535256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334419660721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334419663673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334419666302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419670504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419674689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419677003
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334419869234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1334419869892
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334419877806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334419887818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334419915617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419932788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334419935481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419946934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419960728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419987772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334419999631
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420002746
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334420026502
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334420026700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334420031142
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420032886
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334420032886
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420047484
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334420049129
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334420049222
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420084396
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420093773
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420094078
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420136078
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420144832
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334420151170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334420155004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334420157246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334420157790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334420159631
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420162569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420162980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420164823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420166412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420168036
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420168505
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334420181894
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420181894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420195547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1334420195579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420197962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420199005
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1334420199058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420207280
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420208923
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1334420218602
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334420222930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420223587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1334420223637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420232103
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420232310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420233661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420235308
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420235334
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420239501
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420239598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420240829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420270175
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420287669
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420291791
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420294449
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420294668
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420294705
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420302682
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334420302682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334420323556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420328910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420330899
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334420338240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420350429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420380435
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420381796
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.drawable.DrawableEditor",1334420392328
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.drawable.DrawableEditor",1334420392490
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420400133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420419525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420425593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420427848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420428873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420432771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420475407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420478498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420498490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420501274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420541346
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.drawable.DrawableEditor",1334420544699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420547499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420550307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420551937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420567914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420571009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420577052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420578035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420590047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334420656037
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334420660615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420666725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420670495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1334420670505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420671701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420739489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420742738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334420746940
