what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1334055810796
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1334055814619
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055814640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055816818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055826563
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1334055828432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055831968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055833625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055839824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055841335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055848645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055850256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055852101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055853043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055854587
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1334055854834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055860647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055863378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055873221
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055873268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055882120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055884651
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055886838
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055888828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334056142276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334056142710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334056143122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334056143545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334056148427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334056148845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334056162604
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334056166956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334056191145
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334056194141
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334056199594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334056202198
